name,label,locationname,elevation,locationglobalid,active,display,locationmpname
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Med Shallow,19.6,{52FF4E9C-11C0-4960-9814-72460CDA16E8},Yes,1,Port St Joe Med Shallow - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Shallow Int #2,19.25,{2B29641F-1B77-4139-946E-FAF6ACB196B4},Yes,1,Port St Joe Shallow Int #2 - TO 2 inch PVC casing
Plus hole on TO sanitary seal,Plus hole on TO sanitary seal,Carrabelle Ice Plant,1.25,{4002F17B-0115-4198-8B4E-EEEA0D58B651},Yes,,Carrabelle Ice Plant - Plus hole on TO sanitary seal
TO 10 inch casing,TO 10 inch casing,Camp G. Johnston,33.63,{B2AC643E-5F57-4CF0-87E8-1A937502A4AC},Yes,1,Camp G. Johnston - TO 10 inch casing
Concrete pad,Concrete pad,Buckeye Cellulose 41,0.98,{17DD7DB2-88A9-46E9-A617-7483D6C1A66B},Yes,,Buckeye Cellulose 41 - Concrete pad
TO metal casing at well,TO metal casing at well,USFS-Hickory Landing,0.81,{59AB016C-5A91-4E9A-BBCD-F6DED5734F62},Yes,,USFS-Hickory Landing - TO metal casing at well
TO steel casing,TO steel casing,USGS-Lester Lewis,9.71,{665643FC-7075-4E3E-BFDE-A064EF15F0C4},Yes,1,USGS-Lester Lewis - TO steel casing
TO sanitary seal,TO sanitary seal,Wakulla Parks And Rec,1.2,{E13BA224-8734-4B15-9C15-1A1BDDDB1441},Yes,,Wakulla Parks And Rec - TO sanitary seal
Hole in TO of 8 inch casing,Hole in TO of 8 inch casing,Exxon Supply,3.18,{B3DC4584-1EB0-481E-BC1E-33EEEAB27BD1},Yes,,Exxon Supply - Hole in TO of 8 inch casing
TO 4 inch metal well casing,TO 4 inch metal well casing,Placid Oil - Supply,1.2,{8C71F9C4-B25C-4A49-976E-1F0C8197BD27},Yes,,Placid Oil - Supply - TO 4 inch metal well casing
TO 6 inch steel casing,TO 6 inch steel casing,Purdom #4,2.23,{EA59F359-DDC8-4DF4-9969-EFAB8086932C},Yes,,Purdom #4 - TO 6 inch steel casing
TO sanitary seal,TO sanitary seal,Thomas Square,0.78,{33E42DDD-32EC-4CD6-8781-6BADA47F3C05},Yes,,Thomas Square - TO sanitary seal
TO PVC casing,TO PVC casing,Woods Field,1.75,{63AABC74-8859-4925-BC79-821CE55B73C8},Yes,,Woods Field - TO PVC casing
TO 4 inch coupling on 4 inch casing,TO 4 inch coupling on 4 inch casing,USFS Porter Lake,23.07,{540CC8FF-2BC9-4ABE-9DAE-AF1D78CF8B17},Yes,1,USFS Porter Lake - TO 4 inch coupling on 4 inch casing
TO sanitary seal,TO sanitary seal,USGS-Arran Work Center,0,{D4F5F497-CEA4-4037-8587-C46E7A2360FD},Yes,,USGS-Arran Work Center - TO sanitary seal
TO 6 inch protective casing,TO 6 inch protective casing,Game Check Station,2.6,{867DD1E8-03EA-4313-82F1-3C1ECD2F14B1},Yes,,Game Check Station - TO 6 inch protective casing
TO locking cap ring,TO locking cap ring,Newport Recreation/N,3,{6282BD7D-921B-4AEB-BD6F-F7997FF05304},Yes,,Newport Recreation/N - TO locking cap ring
TO hole in middle of plywood cover,TO hole in middle of plywood cover,Fannin Airport,5.53,{E4445F45-E1F3-4759-9498-2722AE1F155F},Yes,1,Fannin Airport - TO hole in middle of plywood cover
TO sanitary seal,TO sanitary seal,Sandy Campbell,1,{82754C8B-5CE6-4CA4-9D1F-C535DE93F8E3},Yes,,Sandy Campbell - TO sanitary seal
Ch Square on bridge handrail,Ch Square on bridge handrail,SALLY WARD SPRING RUN,13.05,{2E041F5B-1E28-4762-9313-BE9F31F7A78E},Yes,1,SALLY WARD SPRING RUN - Ch Square on bridge handrail
TO 1 inch pipe in sanitary seal,TO 1 inch pipe in sanitary seal,Bay Co - Harders Park,0.75,{2608EAEA-AD0B-4847-B8FA-D27A3EDB3A7C},Yes,,Bay Co - Harders Park - TO 1 inch pipe in sanitary seal
TO sanitary seal,TO sanitary seal,Bay Co - Harders Park,51.1,{6A146E65-3C71-463C-B3F4-EFFD4CAADED3},Yes,1,Bay Co - Harders Park - TO sanitary seal
TO sanitary seal,TO sanitary seal,Estiffanulga Work Center,58.25,{0A18385C-4CEA-46A3-ABF6-321A43E0FC0F},Yes,1,Estiffanulga Work Center - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Floridan-SZ,109.73,{412CF3C4-E1E9-4BCD-A465-B63E979C9DC2},Yes,1,Otter Camp Floridan-SZ - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Int. Sand,108.51,{329D71AE-224E-4443-948B-33A548F899D7},Yes,1,Otter Camp Int. Sand - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Int. Limestone,109.39,{B9E126EA-341E-4FD3-8A4F-567962D5A665},Yes,1,Otter Camp Int. Limestone - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Surficial,108.74,{9960858A-F4F2-4353-8790-FCB8ED898854},Yes,1,Otter Camp Surficial - TO 4 inch PVC casing
TO Sanitary Seal,TO Sanitary Seal,Charles Donahue,26.33,{CB2C3DD8-52FD-413A-A3FB-A6A28B900B8A},Yes,1,Charles Donahue - TO Sanitary Seal
TO 4 inch PVC casing,TO 4 inch PVC casing,C. DONAHUE DEEP / NITRATE POT. MAP,27.12,{7FFE78C9-ADAD-4543-AC38-BE9FB6C2AB63},Yes,1,C. DONAHUE DEEP / NITRATE POT. MAP - TO 4 inch PVC casing
Top of 6 inch PVC casing,Top of 6 inch PVC casing,Pt. Wash. Floridan APT,43.73,{DFA2A665-18D1-4FEC-803D-5EE0EDD07316},Yes,1,Pt. Wash. Floridan APT - Top of 6 inch PVC casing
TO casing,TO casing,J.H. Rawls,1.28,{8E063A49-E4ED-420F-9CA3-175AFD58623F},Yes,,J.H. Rawls - TO casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Bike Trail / Nitrate Pot. Map,37.86,{7E79D86E-9588-44BB-B9A3-E25D061D623F},Yes,1,Bike Trail / Nitrate Pot. Map - TO 4 inch PVC casing
TO 4 inch casing N side,TO 4 inch casing N side,York Street,1.52,{30F92866-A387-4DD5-BC73-AF175E8CECAA},Yes,,York Street - TO 4 inch casing N side
TO sanitary seal,TO sanitary seal,Wacissa Tower Supply,0.8,{94823000-42B0-4040-9EC7-9745BDA58A81},Yes,,Wacissa Tower Supply - TO sanitary seal
Top of Spigot,Top of Spigot,Point Washington,3.8,{EB1391DE-F42C-4BBD-ACB5-D9C0564DE50B},Yes,1,Point Washington - Top of Spigot
Top of 4 inch female adaptor,Top of 4 inch female adaptor,West Hewett,20.56,{0D410E5B-3636-4A6A-9785-61EEED249DAE},Yes,1,West Hewett - Top of 4 inch female adaptor
TO 2 inch PVC casing,TO 2 inch PVC casing,Weller Ave Deep MPZ,25.91,{70D74320-82AE-47F4-9A93-D32744291E64},Yes,1,Weller Ave Deep MPZ - TO 2 inch PVC casing
TO 3 inch steel protective casing,TO 3 inch steel protective casing,Weller Ave MPZ,26.05,{65DAEBD1-0C4D-4F97-BA43-AECD3C66869D},Yes,1,Weller Ave MPZ - TO 3 inch steel protective casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Weller Ave Shallow,26.23,{7CF258FE-CBF6-488A-8796-48AC14613E04},Yes,1,Weller Ave Shallow - TO 2 inch PVC casing
TO steel casing,TO steel casing,USGS LS-04,3.14,{89EFE2F3-15AD-4B77-AE4E-DC8B57172353},Yes,,USGS LS-04 - TO steel casing
TO sanitary seal,TO sanitary seal,Eddie Barnes,1.14,{1EE27FE0-ACAF-4C40-8446-FFDFDFE2D729},Yes,,Eddie Barnes - TO sanitary seal
TO plug pass through,TO plug pass through,Escambia 39 Hanna IB,-0.28,{E19D1DC6-6BE4-4EE1-83F9-42351CA40F16},Yes,,Escambia 39 Hanna IB - TO plug pass through
TO PVC casing,TO PVC casing,Gulf Breeze Mw #13,-0.03,{01BE9197-DE2B-4653-8AA9-A37F319C10ED},Yes,,Gulf Breeze Mw #13 - TO PVC casing
TO casing,TO casing,OCWS Isl-1 (Monitor),2.67,{9A98771C-6180-45E1-8360-EBDD52B7CB32},Yes,,OCWS Isl-1 (Monitor) - TO casing
Hole on TO cap,Hole on TO cap,USGS Th-9,4.12,{9E00EF97-86B5-4C19-874C-9979555A7266},Yes,,USGS Th-9 - Hole on TO cap
TO PVC casing not the gray flange,TO PVC casing not the gray flange,FSU RESERVATION,2.47,{2E7569D7-F6C4-46BB-9808-009050385333},Yes,,FSU RESERVATION - TO PVC casing not the gray flange
Hole in turbine base,Hole in turbine base,DWU #5 (503' - 747'),1,{0B6E36BB-BA6C-4119-B4E4-1F848164B2E0},Yes,,DWU #5 (503' - 747') - Hole in turbine base
Temp Ref point is 0.40ft above LSD,Temp Ref point is 0.40ft above LSD,DWU #5 (503' - 747'),0.4,{8F5D59E2-F4D0-41DE-B504-8CB0DC14FA84},Yes,,DWU #5 (503' - 747') - Temp Ref point is 0.40ft above LSD
TO inside casing,TO inside casing,Midway APT Pr,0.55,{72EFD4AC-AD73-4E89-9CAD-01712DCDACB5},Yes,,Midway APT Pr - TO inside casing
TO 4 inch casing,TO 4 inch casing,USGS #150-Lake Bradford,3,{A7A0B73C-D9C5-403F-B07F-11AF2807897F},Yes,,USGS #150-Lake Bradford - TO 4 inch casing
TO 2 inch steel casing,TO 2 inch steel casing,USGS #150A-Lake Bradford,3,{F5AE4581-EE3D-4996-BF87-0D1E5FCF7F24},Yes,,USGS #150A-Lake Bradford - TO 2 inch steel casing
Top of enclosure floor,Top of enclosure floor,Okaloosa School Board,18.27,{400CC16B-A492-45D7-8B90-87A939A93A63},Yes,,Okaloosa School Board - Top of enclosure floor
TO 0.5 inch coupler,TO 0.5 inch coupler,Mary Esther #2,1.96,{F3076318-96B4-46A0-8594-31412CFE3AD2},Yes,,Mary Esther #2 - TO 0.5 inch coupler
TO steel casing N side,TO steel casing N side,Colonial Pines Trailer Park,0,{E8EF060C-468C-487A-A3E3-1E440A400AF7},Yes,,Colonial Pines Trailer Park - TO steel casing N side
TO 4 inch PVC casing,TO 4 inch PVC casing,Bradford Brook Deep,47.11,{8FA4D8D1-E639-4D39-A559-392906A00BC1},Yes,,Bradford Brook Deep - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Bradford Brook Shallow,47.43,{499F1F61-CDCD-4B7A-B395-BFFFE8923576},Yes,,Bradford Brook Shallow - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Okaloosa Asphalt,1.6,{CCD53E82-D72D-45DF-A103-4E1157CE463A},Yes,,Okaloosa Asphalt - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Ball Park MPZ,-0.28,{B5136EA0-0597-47F8-81E3-E9815F671680},Yes,,Ball Park MPZ - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Ball Park LPZ,-0.12,{5A320534-61F8-4EE6-B691-5A984A89C1E0},Yes,,Ball Park LPZ - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Ball Park SZ,-0.19,{CA2380F9-635D-464D-9289-3FBA3D34763E},Yes,,Ball Park SZ - TO 2 inch PVC casing
TO 8 inch casing,TO 8 inch casing,Wright Elementary,1,{ED359402-86B5-4B5D-BDDC-71E47C0697EB},Yes,,Wright Elementary - TO 8 inch casing
Hole in TO sanitary seal,Hole in TO sanitary seal,LARRY PLANK FLORIDAN PRODUCTION #2,0.28,{B6152C7A-2F5E-490E-9DE1-53B545837482},Yes,,LARRY PLANK FLORIDAN PRODUCTION #2 - Hole in TO sanitary seal
TO 4 inch steel casing,TO 4 inch steel casing,Tom Brown Test,135.65,{A4D30BF8-CB30-45C6-A3A2-ED68B0A6D9C1},Yes,,Tom Brown Test - TO 4 inch steel casing
TO spigot,TO spigot,OLD COWFORD,3.6,{8698FCF1-26DE-4C28-B945-84F84DF8F57B},Yes,,OLD COWFORD - TO spigot
TO PVC casing,TO PVC casing,USGS Th-2,1.2,{98A7FA3A-CE26-4746-B6DD-918C4566C026},Yes,,USGS Th-2 - TO PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Blountstown Floridan,84.75,{9C096AA5-D48A-4B18-BAB3-6D23643BA873},Yes,,Blountstown Floridan - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Blountstown Intermediate,84.66,{D059B744-3E43-426F-B4E6-92FF15886A51},Yes,,Blountstown Intermediate - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Blountstown Surficial,84.4,{ACAF94A3-5B5E-444D-9118-2AE045702681},Yes,,Blountstown Surficial - TO 2 inch PVC casing
TO 6 inch casing through inspection hole,TO 6 inch casing through inspection hole,City Of Tallahassee / Lafayette Park,1.2,{60A6E548-CD03-48ED-9876-5B4C3DE359CB},Yes,,City Of Tallahassee / Lafayette Park - TO 6 inch casing through inspection hole
TO vent pipe,TO vent pipe,EAFB White Point #3,1.8,{1651F719-FA30-43AB-926E-BF385350EA91},Yes,,EAFB White Point #3 - TO vent pipe
N side of open pipe,N side of open pipe,SELMA MADARA / USGS WALTON #9,2.2,{306AA667-054D-41D0-BDED-4AC4973704D0},Yes,,SELMA MADARA / USGS WALTON #9 - N side of open pipe
TO sawed off hose bib,TO sawed off hose bib,SELMA MADARA / USGS WALTON #9,2.5,{6A643347-60FC-4C0B-8C98-24F61DFC4B48},Yes,,SELMA MADARA / USGS WALTON #9 - TO sawed off hose bib
TO steel plate,TO steel plate,Wright Upper Floridan,3.12,{1CD707E3-D79E-4CFF-B1E8-205F9B093997},Yes,,Wright Upper Floridan - TO steel plate
TO 2 inch casing,TO 2 inch casing,Wright Shallow,1.55,{072EAE77-EB75-4248-92FE-CA6A5904174F},Yes,,Wright Shallow - TO 2 inch casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Brentwood Park MPZ,-0.08,{095309C5-2708-4FC5-BE83-FD922F8C5A79},Yes,,Brentwood Park MPZ - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Brentwood Park SZ,-0.22,{21FC29F4-78DB-4EA7-92BC-7A8BE94842CD},Yes,,Brentwood Park SZ - TO 4 inch PVC casing
TO cap North side of threaded hole,TO cap North side of threaded hole,St Joe Paper Tower,0.4,{6CECE6B8-6FA6-49B8-BFDE-FE016BC7F68F},Yes,,St Joe Paper Tower - TO cap North side of threaded hole
TO sanitary seal,TO sanitary seal,FGS-LALONDE #1,1.35,{910FC32C-6965-476C-9050-4D40DF301FAA},Yes,,FGS-LALONDE #1 - TO sanitary seal
TO casing,TO casing,EAFB Near Camp Rucker,3.54,{3095F410-FE70-4AFE-89D2-42C6D8BA251E},Yes,,EAFB Near Camp Rucker - TO casing
TO steel plate,TO steel plate,EAFB #61 Hardstand,0.65,{BE08303C-716D-42FC-858E-5AE550C34F9C},Yes,,EAFB #61 Hardstand - TO steel plate
TO 2 inch PVC casing N side,TO 2 inch PVC casing N side,9Th Ave MPZ,0,{EDAB1B4A-7EB3-415C-B0FB-9ED52B53F44E},Yes,,9Th Ave MPZ - TO 2 inch PVC casing N side
TO PVC casing in vault,TO PVC casing in vault,9Th Ave SZ,-2.89,{782B82F4-6408-489F-B46F-8712C7CDF5D2},Yes,,9Th Ave SZ - TO PVC casing in vault
TO sanitary seal,TO sanitary seal,MOODY TOWER,1,{870C42A2-49B5-46ED-95C7-0B0762EC623D},Yes,,MOODY TOWER - TO sanitary seal
Hose bib,Hose bib,Hunt Club Deep,0.8,{06FF8B24-6DCF-49B9-B386-69EF88B03116},Yes,,Hunt Club Deep - Hose bib
Hose bib,Hose bib,Hunt Club Shallow,3.4,{E5C77BF8-57A2-4F85-8384-82237395FDA5},Yes,,Hunt Club Shallow - Hose bib
TO base of recorder box,TO base of recorder box,USGS-Olson Road,194.73,{9435EB9A-D44C-441F-8C5E-8A09BC9D8A6F},Yes,,USGS-Olson Road - TO base of recorder box
Top of 6 inch threaded adaptor,Top of 6 inch threaded adaptor,EAFB Field #4 (Int.Sys),89.2,{8AEDF75C-3613-4B61-AE35-E97467745B1E},Yes,,EAFB Field #4 (Int.Sys) - Top of 6 inch threaded adaptor
Top of 5 inch flange,Top of 5 inch flange,EAFB Field #4 Well #2,91.72,{F627FF7A-B3AB-438C-A584-909D3258DB87},Yes,,EAFB Field #4 Well #2 - Top of 5 inch flange
TO 4 inch casing,TO 4 inch casing,EAFB Floridan#4 (Lowermost Flrd),91.4,{2799CB90-458F-4A22-98A3-B139D3BCB818},Yes,,EAFB Floridan#4 (Lowermost Flrd) - TO 4 inch casing
TO 4 inch steel casing,TO 4 inch steel casing,USGS-422A Near Greenhead - Floridan,70.01,{9177C60A-FB5E-45DC-8A8C-97A40D229666},Yes,,USGS-422A Near Greenhead - Floridan - TO 4 inch steel casing
TO casing,TO casing,USGS-422B Near Greenhead,70.28,{96753D84-C9F2-4716-9147-3F1E41C39FE7},Yes,,USGS-422B Near Greenhead - TO casing
Plug hole in TO sanitary seal,Plug hole in TO sanitary seal,EAFB R52N Road #200,177.4,{40B8C93E-9993-4FAE-8A87-9823A047C4D9},Yes,,EAFB R52N Road #200 - Plug hole in TO sanitary seal
TO casing,TO casing,J.M. Thompson,0,{C04A4F7F-56D3-4BA9-97C1-5602A4041B40},Yes,,J.M. Thompson - TO casing
TO 4 inch PVC casing,TO 4 inch PVC casing,HQ Floridan,203.25,{E3125962-1489-4126-8DBE-B000773D11CD},Yes,,HQ Floridan - TO 4 inch PVC casing
TO 3 inch PVC casing,TO 3 inch PVC casing,HQ Surficial,201.87,{7F9BED0D-804E-4B87-BB19-697AEDE93CCE},Yes,,HQ Surficial - TO 3 inch PVC casing
TO well casing,TO well casing,FGS-Floridan #2,2.64,{EB7C3512-407A-41C7-8877-61D3D5BB6691},Yes,,FGS-Floridan #2 - TO well casing
TO wood base of clam shell,TO wood base of clam shell,USGS Lake Jackson Floridan,124.12,{C390C1AF-8C26-4403-92CF-C72241BA7F3C},Yes,,USGS Lake Jackson Floridan - TO wood base of clam shell
TO 6 inch steel casing,TO 6 inch steel casing,USGS Lake Jackson Intermediate,124.14,{4B8B4F7D-99C7-47FC-9790-D78411EF24FB},Yes,,USGS Lake Jackson Intermediate - TO 6 inch steel casing
TO sanitary seal,TO sanitary seal,IFAS #4,1,{D67F5929-362C-48AD-B3D1-F224DB11EDA6},Yes,,IFAS #4 - TO sanitary seal
TO casing below concrete slab,TO casing below concrete slab,NWFWMD 9 Mile Rd Deep,117.22,{531E20E4-5952-457F-9AEA-3EADE1E632B9},Yes,,NWFWMD 9 Mile Rd Deep - TO casing below concrete slab
TO casing below concrete slab,TO casing below concrete slab,NWFWMD 9 Mile Rd Int,117.39,{68A56291-1D46-4A19-8FBD-F1C04C22EAE9},Yes,,NWFWMD 9 Mile Rd Int - TO casing below concrete slab
TO casing below concrete slab,TO casing below concrete slab,NWFWMD 9 Mile Rd SZ,117.14,{E28C9900-4EE0-4AC2-97A6-D41A7E8FA38C},Yes,,NWFWMD 9 Mile Rd SZ - TO casing below concrete slab
TO 2 inch plug,TO 2 inch plug,USGS Th-6,0.74,{DFFB7BCB-DB1A-4F85-81BB-45FFBE20F012},Yes,,USGS Th-6 - TO 2 inch plug
Hole on TO steel cap,Hole on TO steel cap,USGS 032-724-1A,2.9,{13CD72F6-83B8-4B60-A986-B98710A8D27A},Yes,,USGS 032-724-1A - Hole on TO steel cap
Top of Extension,Top of Extension,FAF #79,117.41,{EBAB1528-7D05-46FA-ABFB-67DF169B0AF2},Yes,,FAF #79 - Top of Extension
TO sanitary seal,TO sanitary seal,FREEPORT HIGH #1/OWL'S HEAD #5/FAF #8,1.69,{608A4407-DBC7-4762-AB5D-B24928EB5384},Yes,,FREEPORT HIGH #1/OWL'S HEAD #5/FAF #8 - TO sanitary seal
Top of Extension,Top of Extension,FAF #65/AKA USGS 40,132.32,{54DB729F-20F5-4AA1-BBEC-4619207BD3D4},Yes,,FAF #65/AKA USGS 40 - Top of Extension
TO 2x4,TO 2x4,Richards Surficial,1.1,{5B6F6787-6404-49C0-A492-C6120443554B},Yes,,Richards Surficial - TO 2x4
TO sanitary seal,TO sanitary seal,Premier Enterprise #2,0.65,{46B09D66-08F9-4B3C-893C-A5A1F83DF9A6},Yes,,Premier Enterprise #2 - TO sanitary seal
TO sanitary seal,TO sanitary seal,EAFB Metts Tower,191.74,{6A61EB6D-E2BC-452D-96D8-39506E48C3A4},Yes,,EAFB Metts Tower - TO sanitary seal
TO sanitary seal,TO sanitary seal,Buck Register,1,{EFD66DA8-F727-4513-85A2-77BAFEC638F3},Yes,,Buck Register - TO sanitary seal
TO sanitary seal,TO sanitary seal,Carl Fryer,1.1,{CF4295BC-9C37-4959-A40D-3DF4DF893BA2},Yes,,Carl Fryer - TO sanitary seal
TO sanitary seal,TO sanitary seal,SWU - FAF #47,151.04,{999725BE-B43B-4B25-B789-95C20003B808},Yes,,SWU - FAF #47 - TO sanitary seal
TO sanitary seal,TO sanitary seal,L. Walsingham,0.79,{909F2D10-596A-444D-AD35-4AB2046C9DC6},Yes,,L. Walsingham - TO sanitary seal
TO 2 inch vent pipe nearside,TO 2 inch vent pipe nearside,Altha East #1,2.5,{32F8F234-4A8A-47A7-B406-1386C9614AD6},Yes,,Altha East #1 - TO 2 inch vent pipe nearside
TO sanitary seal,TO sanitary seal,Greensboro #3,0.6,{2D1B3E59-938F-4701-86A9-1E079C39181C},Yes,,Greensboro #3 - TO sanitary seal
Top of PVC vent pipe coupler,Top of PVC vent pipe coupler,EAFB Range 63 #31,136.53,{6756366D-FBC4-41CB-98F0-A3C031CA5141},Yes,,EAFB Range 63 #31 - Top of PVC vent pipe coupler
TO sanitary seal,TO sanitary seal,Williamson / Yates,1.4,{1E05078A-8795-4F7D-9BF8-5553B66CA3D9},Yes,,Williamson / Yates - TO sanitary seal
TO sanitary seal,TO sanitary seal,REDBAY TOWER/AKA USGS 43,0.86,{721FCDD9-BA89-4149-B06B-0276F9A20726},Yes,,REDBAY TOWER/AKA USGS 43 - TO sanitary seal
Top of Extension,Top of Extension,FAF #93,169.37,{DE9993C1-83CE-4A1E-9FA6-E260885C9D49},Yes,,FAF #93 - Top of Extension
TO threaded pipe in center of steel plate,TO threaded pipe in center of steel plate,EAFB Field #5 Well #2,0.58,{8D889B2F-391E-4F48-A40D-44F24DB17D06},Yes,,EAFB Field #5 Well #2 - TO threaded pipe in center of steel plate
TO steel casing,TO steel casing,USGS 035-706-01/Test,-0.25,{DF700E9D-5533-44EA-BE7A-E5FE7FB53ABD},Yes,,USGS 035-706-01/Test - TO steel casing
TO 6 inch steel casing,TO 6 inch steel casing,Muscogee Deep MPZ,2.06,{7E7CBCC2-4DB0-484D-842C-28B9664FC392},Yes,,Muscogee Deep MPZ - TO 6 inch steel casing
TO 3 inch steel casing,TO 3 inch steel casing,Muscogee MPZ,2.45,{D893B587-730C-460E-9AB7-C91E6A81B07B},Yes,,Muscogee MPZ - TO 3 inch steel casing
TO 3 inch steel casing,TO 3 inch steel casing,Muscogee SZ,2.42,{45FAC123-C58F-4B8A-ABE8-E9133B79DF7E},Yes,,Muscogee SZ - TO 3 inch steel casing
TO reducer,TO reducer,Quincy #3,0.65,{833F2B19-4EB0-4EB5-A3A4-B0CBD70D32F3},Yes,,Quincy #3 - TO reducer
TO casing,TO casing,Compass Lake Tower,303.5,{D652DB5D-5F95-4638-A9F2-EDDA5A144E5A},Yes,,Compass Lake Tower - TO casing
Top of galvanized threaded pipe vent coupler,Top of galvanized threaded pipe vent coupler,EAFB 6204 Floridan 96 CEG,136.57,{84492105-033A-4690-9454-BA58F90755CE},Yes,,EAFB 6204 Floridan 96 CEG - Top of galvanized threaded pipe vent coupler
Hole in steel plate,Hole in steel plate,EAFB 6204 Floridan 96 CEG,1.29,{D7472F51-B1EC-40A5-89D2-BA2E48EB6D33},Yes,,EAFB 6204 Floridan 96 CEG - Hole in steel plate
TO sanitary seal,TO sanitary seal,Valley View School,0.79,{C51AFD2E-BEE3-40C3-A2AC-44998E783D43},Yes,,Valley View School - TO sanitary seal
Hole in PVC cap on well,Hole in PVC cap on well,Register/Old Garland,1.1,{8F60A894-EBED-44BA-B8A0-332A40391D17},Yes,,Register/Old Garland - Hole in PVC cap on well
TO sanitary seal at airline drop pipe,TO sanitary seal at airline drop pipe,EAFB Field #3 96 CEG/Ce,1.6,{95F9757A-8B75-4310-9F40-7330150C8B6C},Yes,,EAFB Field #3 96 CEG/Ce - TO sanitary seal at airline drop pipe
Bottom edge of 2 inch access pipe N side,Bottom edge of 2 inch access pipe N side,East Milton #3/Mille,1.37,{9F39D290-2C6E-4D5E-844C-694E228B98B4},Yes,,East Milton #3/Mille - Bottom edge of 2 inch access pipe N side
1 inch bolt hole on side of pump,1 inch bolt hole on side of pump,Tall Timbers,2.5,{BC857CD1-93FE-485D-B25C-A6EDFE20E21A},Yes,,Tall Timbers - 1 inch bolt hole on side of pump
TO PVC casing,TO PVC casing,Quintette Deep MPZ,1.6,{2A3340D4-A802-4C67-A0A5-8CA5D4412472},Yes,,Quintette Deep MPZ - TO PVC casing
TO PVC casing,TO PVC casing,Quintette MPZ,1.55,{CFC21E2A-70BE-49D0-AEA5-D25ACAD2317E},Yes,,Quintette MPZ - TO PVC casing
